,price,temps,title
340,259 €,"03 avr, 23:32",Ordinateur PC Portable Lenovo Thinkpad L512
341,15 €,"03 avr, 21:53",Graveur ThinkPad CD-RW\DVD-RW double couche neuf
342,40 €,"03 avr, 21:04",Sacoche PC Portable Toile et Cuir LENOVO neuve
343,249 €,"03 avr, 16:54",Ordinateur Lenovo ThinkPad X230 tab /i7/4Go/320Go
345,189 €,"03 avr, 16:53",Ordinateur Lenovo ThinkPad X230/i5/4Go/320Go/Win7
346,390 €,"03 avr, 15:29",HP EliteOne 800 G2 Core i5/8GODDR4/256GOSSD/W10
347,300 €,"03 avr, 15:28",DELL OptiPlex 3050 I5/8GO/500GO/W10PRO
348,900 €,"03 avr, 15:06",Portable Pro Lenovo thinkpad P50
349,37 €,"03 avr, 14:08",Carte mère pc lenovo t410 /fru:63y1483
350,38 €,"03 avr, 13:17",Carte mère pc lenovo t410 /fru:63y1483
352,5 €,"03 avr, 13:02",Panasonic Graveur DVD PC Portable DVD+/-RW IDE Uni
353,25 €,"03 avr, 12:13",Inverter Ibm LenovoT43 ref:27K9975
354,20 €,"03 avr, 10:24",Lenovo Graveur DVD Slim Noir 43N3229
355,650 €,"02 avr, 23:48",Lenovo Thinkpad T470 i7
357,30 €,"02 avr, 21:02",Clavier lenovo X200 X201 francais azerty
358,15 €,"02 avr, 20:23",Graveur/lecteur Lenovo UltraSlim USB Lightscribe
359,390 €,"02 avr, 17:31",Dell latitude e5490 i5/8go/256gossd/w107pro
360,160 €,"02 avr, 16:46",Dell latitude e6330 i5/4go/320go/w10pro
361,20 €,"02 avr, 16:02",Station d'accueil Thinkpad X200 Ultrabase 42X4963
362,550 €,"02 avr, 15:44",Lenovo T470 I5 6200 2.3GHz 16go 500 SSD
364,280 €,"02 avr, 14:20",Dell latitude e5440 i5/4go/500go/w7pro
365,40 €,"02 avr, 12:17","IBM Thinkpad X31 - 12.1"""
366,180 €,"02 avr, 12:07",Ordinateur portable LENOVO Thinkpad
367,45 €,"02 avr, 08:09",Sacoche ordinateur professionnel
368,10 €,"02 avr, 07:54",Chargeur Lenovo Thinkpad ibm 92P1112
369,40 €,"01 avr, 23:16",Clavier et pièces Lenovo Thinkpad X230 (lot poss.)
370,59 €,"01 avr, 20:31","Lenovo ThinkPad X200 12"" Core 2 Duo P8600 2.40 GHz"
371,450 €,"01 avr, 19:08",LENOVO THINKPAD E570 - 450euro
372,349 €,"01 avr, 15:32",Lenovo ThinkPad L440 Core i5 4200M - 2.5 GHz 8Go
374,279 €,"01 avr, 15:10",Lenovo T440 Core i5 2.5 Ghz 4GB /500 GO/ GARANTIE
375,199 €,"01 avr, 15:10","Lenovo X240 12.5"" Core i5 2.4 Ghz/4GB/128 /240 SSD"
376,350 €,"01 avr, 13:10",Lenovo Thinkpad T450 Neuf
377,10 €,"01 avr, 10:09",Lenovo Thinkpad 42T4433 65-90 Watt AC Adapter
